Technology Mid-Type,Technology Broad Category,Application - Distribution Infrastructure Services,Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Mid-Type,Discharge Duration at Rated Power (hrs),Rated Capacity (kWh),Rated Power (kW),Storage Capacity (kWh),Sum for kWh Distribution Services - Distribution Upgrade Deferral,Sum for kWh Distribution Services - Reliability,Announced Date,Annual Maintenance or Warranty Cost (USD),Annual Operational Cost - OPEX (USD),Application - Ancillary Services,Application - Bulk Energy Services (General Energy Applications),Application - Customer Energy Management Services (End-User Services),Application - Others,Application - Transmission Infrastructure Services,Bulk Energy Services - Application 1,Bulk Energy Services - Application 2,Bulk Energy Services - Application 3,Captial Expenditure - CAPEX (USD),City,Commissioned Date,Constructed Date,Contact Information: Email Address,Contact Information: Name,Contact Information: Phone Number,Country,County,Data Source,Debt Provider,Decommissioned Date,Description/Notes,Developer,Energy Storage Technology Provider,Epc 1,Epc 2,Epc 3,Funding Source 1,Funding Source 2,Funding Source 3,Funding Source Amount 1 (USD),Funding Source Amount 2 (USD),Funding Source Amount 3 (USD),Grid Interconnection Level,ID,Installer,Interconnection Type,Iso/Rto,Latest Update Date,Latitude,Longitude,Number of Subsystems,O&M Contractor,Owner(s),Ownership Model,Ownership Model (Other),Paired Grid Resources,Postal Code,Power Electronics Provider,Project Data Validated?,Project Year,Project/Plant Name,Projected Payback Period (years),State/Province/Territory,Status,Street Address,Subsystem 1 - Communications,Subsystem 1 - Controller Type,Subsystem 1 - Depth of Discharge (%),Subsystem 1 - Efficiency Degradation,Subsystem 1 - Enclosure Operating Temperature (deg C),Subsystem 1 - Enclosures,Subsystem 1 - Energy Density (kWh/m^3),Subsystem 1 - Footprint (m^2/MWh),Subsystem 1 - Frequency Ride Through (FRT),Subsystem 1 - Full Load Efficiency (%),Subsystem 1 - High Voltage Ride Through (HVRT),Subsystem 1 - ID,Subsystem 1 - Lagging Power Factor Range,Subsystem 1 - Leading Power Factor Range,Subsystem 1 - Low Voltage Ride Through (LVRT),Subsystem 1 - Maximum Charge Power (kW),Subsystem 1 - Maximum Discharge Power (kW),Subsystem 1 - Maximum Total Current Harmonic Distortion (%),Subsystem 1 - Nominal AC Voltage (kV),Subsystem 1 - Nominal DC Voltage (kV),Subsystem 1 - Nominal Frequency (Hz),Subsystem 1 - Number of Cells,Subsystem 1 - Number of Phases,Subsystem 1 - Operating Frequency Range (Hz) High,Subsystem 1 - Operating Frequency Range (Hz) Low,Subsystem 1 - Operating Temperature (deg C),Subsystem 1 - Overload Capability (%),Subsystem 1 - Ramping Rate (kW/min),Subsystem 1 - Rated Power (kW),Subsystem 1 - Response Time (s),Subsystem 1 - Round-trip Efficiency (%),Subsystem 1 - Specific Energy (kWh/ton-metric),Subsystem 1 - Standby Energy Consumption (kWh),Subsystem 1 - Storage Capacity (kWh),Subsystem 1 - Storage Operating Temperature (deg C),Subsystem 1 - Subsystem Name,Subsystem 1 - Technology Sub-Type,Subsystem 1 - Time Allowed for Overload (s),Subsystem 1 - Topology,Subsystem 1 - Transformer Configuration,Subsystem 1 - Transformer Rating,Subsystem 1 - Warranty Lifetime (cycles),Subsystem 1 - Warranty Lifetime (years),Subsystem 1 - Warranty Lifetime (years) 1,Sum for kW Ancillary Service - Black Start,Sum for kW Ancillary Service - Frequency Regulation,Sum for kW Ancillary Service - Operating Reserve (Non-Spinning),Sum for kW Ancillary Service - Operating Reserve (Spinning),Sum for kW Ancillary Service - Operating Reserve (Supplementary),Sum for kW Ancillary Service - Ramp Support,Sum for kW Ancillary Service - Voltage Support,Sum for kW Bulk Energy Services - Arbitrage,Sum for kW Bulk Energy Services - Firming,Sum for kW Bulk Energy Services - RE Time Shift,Sum for kW Distribution Services - Distribution Upgrade Deferral,Sum for kW Distribution Services - Reliability,Sum for kW Other Services - Electric Supply Capacity,Sum for kW Other Services - Transportation Services,Sum for kW Transmission Services - Stability Damping Control,Sum for kW Transmission Services - Transmission Congestion Relief,Sum for kW Transmission Services - Transmission Upgrade Deferral,Sum for kWh Ancillary Service - Black Start,Sum for kWh Ancillary Service - Frequency Regulation,Sum for kWh Ancillary Service - Operating Reserve (Non-Spinning),Sum for kWh Ancillary Service - Operating Reserve (Spinning),Sum for kWh Ancillary Service - Operating Reserve (Supplementary),Sum for kWh Ancillary Service - Ramp Support,Sum for kWh Ancillary Service - Voltage Support,Sum for kWh Bulk Energy Services - Arbitrage,Sum for kWh Bulk Energy Services - Firming,Sum for kWh Bulk Energy Services - RE Time Shift,Sum for kWh Other Services - Electric Supply Capacity,Sum for kWh Other Services - Transportation Services,Sum for kWh Transmission Services - Stability Damping Control,Sum for kWh Transmission Services - Transmission Congestion Relief,Sum for kWh Transmission Services - Transmission Upgrade Deferral,System Operator,Technology Sub-Type,URL,Utility ID,Utility Type
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,1200000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Numata,1/7/1986,1/1/1973,,,,Japan,,GESDB,,,The Tamahara Powerplant is located 14 km (9 mi) north of Numata.  Power is generated during periods of high energy demand and pumping occurs during times when energy demand is low such as at night. The power station contains four 300 MW reversible Francis turbine pump-generators which serve to both pump water and generate electricity.  Effective hydraulic head: 518 m,,,,,,,,,,,,Transmission,172,,,,,36.7797327,139.0605341,1,,Tokyo Electric Power Company (TEPCO),Utility-Owned,,,,,NO,1/7/1986,Tamahara Pumped Storage Power Station,,Gunma Prefecture,Operational,Tamahara Dam,,,,,,,,,,,,172.1,,,,,,,,,,,,,,,,,1200000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,1200000,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.suiryoku.com/gallery/gunma/tanbara/tanbara.html,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,600000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Karatsu-shi,1/1/1987,,,,,Japan,,GESDB,,,"Environmentally friendly hydroelectric power is well suited to Japan's unique topographical characteristics and climate, which provides abundant rainfall. Although hydroelectric power was once a main source of energy, the ratio of hydroelectric to thermal power has been reversed since 1959. Hydroelectric power plants can quickly be adjusted, and this makes hydroelectricity ideal for the role of compensating for potential shortfalls to meet peak demand. Pumped storage hydroelectric power plants, which pump in water during low-demand evening hours and use it to generate power during peak hours, have become the mainstream of hydroelectric power generation in recent years in Japan.  http://www.kyuden.co.jp/var/rev0/0041/7746/dx84stsj4_all.pdf  http://www.fepc.or.jp/english/energy_electricity/location/hydroelectric/",,Hitachi Mitsubishi Hydro Corporation,,,,,,,,,,,173,,,,,33.431907,129.95,1,,Kyushu Electric Power Company,Utility-Owned,,,,Hitachi,NO,1/1/1987,Tenzan Pumped Hydro Power Station,,Saga,Operational,,,,,,,,,,,,,173.1,,,,,,,,,,,,,,,,,600000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,600000,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.jepic.or.jp/en/data/EPIJJapanData.pdf,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,1820000,0,0,0,,,,Operating Reserve (Spinning),Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Vaujany,1/1/1987,1/1/1978,,,,France,,GESDB,,,"The Grand’Maison ""high head"" dam is located upstream of the Romanche valley. It uses 8 pump turbines to drive water back up to the upper pondage in order to store it for use during periods of high demand.  The power station has a total output of 1820MW (12 turbine sets each producing 150MW). Its annual production of 1,420GWh (Gigawatt hours) accounts for 8% of France’s hydro-electric power. The total amount of power required for pumping is 1,720 (i.e. an overall loss of 300GWh or 30%). The rate of flow is of little importance at this mountain site, what matters is the 950 metre drop.",Électricité de France (EDF),Alstom,,,,,,,,,,Transmission,174,,,,,45.2057207,6.115177324,1,,Électricité de France (EDF),Utility-Owned,,,,,NO,1/1/1987,Grand'Maison Dam Pumped Storage Power Plant,,Isère,Operational,Barrage de Grand'Maison,,,,,,,,,,,,174.1,,,,,,,,,,,,,,,,,1820000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,1820000,0,0,0,1820000,0,0,0,0,1820000,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.planete-tp.com/en/upstream-of-the-romanche-valley-a235.html,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,17.67,3530466,199800,3530466,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Shaver Lake,1/1/1987,,,,,United States,,GESDB,,,"The Eastwood Pumped Storage facility is part of the Big Creek Hydroelectric Project, which consists of 9 powerplants generating at a combined 1,000 MW. The Eastwood plant operates as a reservoir storage facility with the benefit of pumpback.  The Balsam Meadows Hydroelectric Project includes a 5,900-foot diversion tunnel connecting the existing Huntington-Pitman-Shaver Conduit, a 4,320-foot power tunnel, and a 7,500-foot Tailrace Tunnel with a 16-foot horseshoe section leading to Shaver Lake.",Southern California Edison,,,,,,,,,,,Transmission,175,,,CAISO,,37.104114,-119.32,1,,Southern California Edison,Utility-Owned,,,,,NO,1/1/1987,Big Creek (John S. Eastwood) Pumped Storage,,California,Operational,,,,,,,,,,,,,175.1,,,,,,,,,,,,,,,,,199800,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,199800,0,0,0,0,199800,0,0,0,0,0,0,0,0,0,0,0,3530466,0,0,3530466,0,0,0,0,,Open-loop PHS,http://newsroom.edison.com/stories/big-creek-hydroelectric-system-produces-hardest-working-water-in-the-world,,Investor Owned
Lead-acid battery,Electro-chemical battery and chemical storage,,Electro-chemical battery and chemical storage,Lead-acid battery,1.67,14195,8500,14195,0,0,,,,"Frequency Regulation, Operating Reserve (Spinning)",,,,,,,,,Berlin,1/1/1987,,,,,Germany,,GESDB,,1/1/1995,"The BEWAG battery was the largest battery for utility applications in the world at the time it was commissioned. It was installed to provide frequency regulation and spinning reserve to the West Berlin grid when East and West Berlin were still divided, which technically created an electrical ""island"" grid since West Berlin was not connected to the grid in Western Europe. The battery system operated in the multifunction frequency regulation adn spinning reserve mode until 1993, when the frequency regulation mode was no longer needed after the reunification, and West Berlin was connected to the European grid.  The battery remained in operation until 1995, in the spinning reserve mode, when it reached its end of life.",,Hagen OCSM cells,,,,,,,,,,,176,,,,,52.5200066,13.4,1,,BEWAG,Utility-Owned,,,,AEG,NO,1/1/1987,Berliner Kraft- und Licht BEWAG Battery,,Berlin,De-Commissioned,,,,,,,,,,,,,176.1,,,,,,,,,,,,,,,,,8500,,,,,,,Subsystem 1,,,,,,,,,0,8500,0,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14195,0,14195,0,0,0,0,0,0,0,0,0,0,0,,Technology Sub-Type Unknown,http://unesdoc.unesco.org/images/0009/000916/091670eo.pdf,,
Lead-acid battery,Electro-chemical battery and chemical storage,,Electro-chemical battery and chemical storage,Lead-acid battery,1,500,500,500,0,0,,,,,Electric Energy Time Shift (Arbitrage),,,,Electric Energy Time Shift (Arbitrage),,,,Statesville,1/1/1987,,,,,United States,,GESDB,,1/5/2002,"The Crescent battery was obtained for a peak shaving application and represents the first application of battery energy storage for electric utility applications on the US Electric grid. The battery was originally installed in 1983 at the Battery Energy Test Facility (BEST) that was built in the Public Service Electric and Gas (PSE&amp;G) NJ service area as a joint venture of EPRI and the US Department of Energy (with PSE&amp;G as the host utility), to establish a laboratory for testing large stationary batteries for electric utility applications. After completing an initial test phase, during which this battery was used for a few hundred charge-discharge cycles, it was purchased by the North Caronlina Electric Membership Cooperative (EMC) and moved to the Crescent EMC location in Statesville, NC, in 1987.  As of 1995, the battery had performed its intended function and saved Crescent EMC over $223,000. Capacity tests performed around 1999 confirmed that the cells still retained their original capacity of over 2000 Ah. It is also pertinent to note that the battery was installed in a modest, metal, prefabricated building, was cooled only with ambient air ventilation, and required minimal routine maintenance during its operational life.  In May 2002, after a significant battery overcharge and likely damage, EnergyUnited performed an analysis of the system and made a business decision to decommission the BESS.",,GNB Industrial Battery (now Exide Battery),,,,,,,,,,,177,,,,,35.7826363,-80.89,1,,Crescent Electric Membership Cooperative (now EnergyUnited),Utility-Owned,,,,Firing Circuits,NO,1/1/1987,Crescent Electric Membership Cooperative BESS,,North Carolina,De-Commissioned,,,,,,,,,,,,,177.1,,,,,,,,,,,,,,,,,500,,,,,,,Subsystem 1,,,,,,,,,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,,Technology Sub-Type Unknown,http://www.osti.gov/scitech/servlets/purl/453759/,,Cooperative (Customer Owned)
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,160000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Smolyan,1/1/1988,,,,,Bulgaria,,GESDB,,,"The Orphey Hydro Power Plant is an active hydro power project near Krichim, Bulgaria. It has 4 individual Francis turbines which will deliver up to 160 MW of power. One of the turbines can be used as a pump as well (38 MW), making this power plant a pumped storage type. The plant uses water from the Vacha Reservoir, and is part of the Dospat-Vacha Hydro Power Cascade.  https://en.wikipedia.org/wiki/Orphey_Hydroelectric_Power_Station",,,,,,,,,,,,Transmission,178,,,,,41.7429109,24.39,1,,NEK EAD,Utility-Owned,,,,,NO,1/1/1988,Orphey Hydro Power Plant,,Devin,Operational,,,,,,,,,,,,,178.1,,,,,,,,,,,,,,,,,160000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,160000,0,0,0,0,160000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.nek.bg/cgi?d=1434,,Federally Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,400000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Coimbature,1/1/1988,,,,,India,,GESDB,,,"Also in the south, the 400MW Kadamparai pumped storage plant came up in Tamilnadu state during the years 1987-89. It is located on a river of the same name and utilises the base created for the earlier 60MW Aliyar project. An upper reservoir had to be created by construction of a masonry-earthen dam. Its underground power house has four vertical Francis reversible units rated at 102MW, with generators of 100MW. The first unit was supplied by Boving and GE of the UK, while the latter collaborated with India's BHEL to supply the other three units, all of mixed type. The Kadamparai Pumped Storage Hydro Electric station (4 x100 MW) in Coimbatore District was commissioned in the year 1986 and is the first of its kind in the country to operate both in operation and pumping mode since 1987. In this Power House the off peak energy is utilized to pump water to the upper reservoir and during peak hours the Power House is put in generation mode.",,Mitsui,,,,,,,,,,Transmission,179,,,,,11.0168445,76.96,1,,West Bengal State Electricity Distribution Co. Ltd.,Third-Party-Owned,,,,Mitsubishi Heavy Industries,NO,1/1/1988,Kadamparai Hydroelectric Pumped Storage Power Plant,,Tamil Nadu,Operational,,,,,,,,,,,,,179.1,,,,,,,,,,,,,,,,,400000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,400000,0,0,0,0,400000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://globalenergyobservatory.org/geoid/3766,,Public Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,360000,0,0,0,,,,,"Renewable Energy Time Shift, Renewable Energy Time Shift (Firming)",,,,,Renewable Energy Time Shift,Renewable Energy Time Shift (Firming),,Hausling,1/1/1988,,,,,Austria,,GESDB,,,"History of the Power Plant  The 35 metre deep shaft structure of the Häusling power house consists of a freestanding reinforced concrete cylinder with an outside diameter of 32.8 metres, which is founded entirely on rock. The building has no direct anchoring to the rock of the slope behind it. Hydraulic cushioning is built into the ground floor and the first floor on the mountain side to prevent any carryover of tension - a construction method that was developed based on experience gained in the construction of the Roßhag power house. The roof of the machine hall is connected to the slope by means of an anchor and gutter beam that can be walked on that can be used to channel water from the slope and roof to the drainage canal via a drop shaft.  The buildings are made of coated in situ concrete using prefabricated concrete elements in the area of the roof edges.  The machine hall has a concrete ribbed floor and a light coating on the inside. The floors and the lower part of the walls are equipped with a covering of red clinker panels.",,,,,,,,,,,,,180,,,,,47.14584,11.97,1,,VERBUND Hydro Power AG,Third-Party-Owned,,,,,NO,1/1/1988,Häusling Pumped Storage Power Plant,,Tyrol,Operational,,,,,,,,,,,,,180.1,,,,,,,,,,,,,,,,,360000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,0,360000,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,Open-loop PHS,http://www.verbund.com/pp/en/pumped-storage-power-plant/haeusling,,
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,71.43,10000200,140000,10000200,0,0,,,,Operating Reserve (Spinning),Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Marco de Canavezes,1/1/1988,1/1/1979,,,,Portugal,,GESDB,,,"Torrão Pumped Storage Power Plant produces enough energy to supply the municipalities of Coimbra, Penafiel, Marco, Mesão Cold and Baiao, a total of 600,000 inhabitants.",,Sorefame,Mota,Companhia/Conduril,,,,,,,,Transmission,181,,,,,41.097355,-8.26,1,,Energias de Portugal (EDP),Utility-Owned,,,,,NO,1/1/1988,Torrão Pumped Storage Power Plant,,Porto,Operational,Estrada de Barragem,,,,,,,,,,,,181.1,,,,,,,,,,,,,,,,,140000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,140000,0,0,0,140000,0,0,0,0,140000,0,0,0,0,0,0,0,10000200,0,0,0,10000200,0,0,10000200,0,0,0,0,,Open-loop PHS,http://www.a-nossa-energia.edp.pt/centros_produtores/empreendimento.php?item_id=26,,Investor Owned
Lead-acid battery,Electro-chemical battery and chemical storage,,Electro-chemical battery and chemical storage,Lead-acid battery,4,40000,10000,40000,0,0,,,,"Voltage Support, Black Start",,,,Stability Damping Control,,,,,Chino,1/1/1988,,,,,United States,,GESDB,,1/1/1997,"The Chino battery system was a jointly sponsored project by EPRI, the US DOE, and the International Lead Zinc Research Organization (ILZRO), with Southern California Edison (SCE) as the host utility. It was an early demonstration of a utility-scale battery energy storage system for multiple applications. At the time of its completion, this became the largest utility battery energy storage system in the world. It was not until the PREPA battery and later the Fairbanks battery systems were commissioned that this distinction was earned by these projects, in 1994 and 1999, respectively.",,Exide Batteries,,,,,,,,,,,182,,,CAISO,,34.00009543,-117.6802244,1,,Southern California Edison,Utility-Owned,,,91710,GE,NO,1/1/1988,SCE Chino Battery Storage Project,,California,De-Commissioned,14005 Benson Ave,,,,,,,,,,,,182.1,,,,,,,,,,,,,,,,,10000,,,,,,,Subsystem 1,,,,,,,,,10000,0,0,0,0,0,10000,0,0,0,0,0,0,0,10000,0,0,40000,0,0,0,0,0,40000,0,0,0,0,0,40000,0,0,,Technology Sub-Type Unknown,https://www.edison.com/content/dam/eix/documents/innovation/smart-grids/Energy-Storage-Concept-to-Reality-Edison.pdf,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,10,4000000,400000,4000000,0,0,,,,"Voltage Support, Frequency Regulation, Black Start, Operating Reserve (Spinning)",Electric Energy Time Shift (Arbitrage),,,,Electric Energy Time Shift (Arbitrage),,,,Grabouw,1/5/1988,1/11/1983,,,,South Africa,,GESDB,,,"The scheme has a dual role: - to generate electricity for the Eskom National Grid during peak and emergency demand periods - to transfer much needed water from the Palmiet River to Cape Town.  Water is stored in an upper and lower reservoir. For power generating purposes, water flows from the upper reservoir to the lower reservoir via two reversible pump/turbines. During off peak periods the water collected in the lower reservoir is pumped back again.  During winter rainfall months, excess water in the Palmiet River is pumped to the upper reservoir for transfer to the Steenbras Dam and the Cape Town water consumer.",Eskom Holdings SOC Limited,Voith,,,,,,,,,,Transmission,183,,,,,-34.158688,19.01,1,Peaking Generation,Eskom Holdings SOC Limited,Utility-Owned,,,07160,Fuji,NO,1/5/1988,Palmiet Pumped Storage Scheme,,Western Cape,Operational,,,,,,,,,,,,,183.1,,,,,,,,,,,,,,,,,400000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,400000,400000,0,400000,0,0,400000,400000,0,0,0,0,0,0,0,0,0,4000000,4000000,0,4000000,0,0,4000000,4000000,0,0,0,0,0,0,0,,Open-loop PHS,http://www.eskom.co.za/c/article/45/palmiet-pumped-storage-scheme/,,Federally Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,7.17,7528500,1050000,7528500,0,0,,,,"Voltage Support, Frequency Regulation, Black Start, Operating Reserve (Spinning)",Electric Energy Time Shift (Arbitrage),,,,Electric Energy Time Shift (Arbitrage),,,,Nikkō,1/7/1988,1/10/1979,,,,Japan,,GESDB,,,"The Imaichi dam serves as the lower reservoir for the 1,050 MW Imaichi Pumped Storage Power Station, while the Kuriyama Dam forms the upper. Its reservoir can store 9,100,000 m3 (7,377 acre·ft) of water. Of that storage volume, 6,200,000 m3 (5,026 acre·ft) can be used for power generation. The power plant operates using the pump-storage hydroelectric method. During periods of high electricity demand, water is sent from the upper Kuriyama Reservoir to the power plant which contains 3 x 350 MW Francis pump turbines. Water discharged from the power plant then enters the Imaichi Reservoir. When demand is low, the pump-generators reverse mode and pump water from the lower reservoir back up to the upper.  Head = 524 meters",TEPCO,,,,,,,,,,,Transmission,184,,,,,36.7199026,139.7,1,,Tokyo Electric Power Company (TEPCO),Utility-Owned,,,,,NO,1/7/1988,Imaichi Pumped Storage Power Station,,Tochigi,Operational,Togawa River,,,,,,,,,,,,184.1,,,,,,,,,,,,,,,,,1050000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,1050000,1050000,0,1050000,0,0,1050000,1050000,0,0,0,0,0,0,0,0,0,7528500,7528500,0,7528500,0,0,7528500,7528500,0,0,0,0,0,0,0,,Open-loop PHS,http://www.suiryoku.com/gallery/tochigi/imaichi/imaichi.html,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,30800,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,San José de Maipo,1/1/1989,,,,,Chile,,GESDB,,,"<p>The plant was rebuilt after the flood of the Colorado River in November 1987. Using a Francis design, the turbines are capable of electrical production and can also be used for pumped storage, where a reservoir is filled by the turbine (acting as a pump) driven by the generator acting as a large electrical motor during periods of low power demand, and then reversed and used to generate power during peak demand. These pump storage reservoirs, etc. act as large energy storage sources to store ""excess"" electrical energy in the form of water in elevated reservoirs. This is one of only a few ways that temporary excess electrical capacity can be stored for later utilization.</p>",,,,,,,,,,,,Transmission,185,,,,,-33.665194,-70.09,1,,AES Gener S.A,Utility-Owned,,,,,NO,1/1/1989,Auxiliar Maitenes Hydro Power Plant,,Región Metropolitana,Operational,,,,,,,,,,,,,185.1,,,,,,,,,,,,,,,,,30800,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,30800,0,0,0,0,30800,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.gener.cl/AESGenerWebNeo/index.aspx?channel=6187,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,4,612000,153000,612000,0,0,,,,"Operating Reserve (Supplementary), Operating Reserve (Spinning)",Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Herdecke,8/8/1989,,,,,Germany,,GESDB,,,"The Herdecke (or Koepchenwerk) Pumped Storage Power Plant was originally commissioned in 1930, but an accident caused by a broken pump in December 1980 led to the plant's closure. Between 1985 and 1989, RWE built and commissioned a new pumped storage plant adjacent to the old one. The power plant was later modernized at the cost of €25 million between May and September 2007.  The plant uses roughly the same amount of energy in pumping mode (153,590 kW) as it creates in generating mode (153,000 kW).",,,,,,,,,,,,Transmission,186,,,,,51.4031667,7.43,1,,RWE,Utility-Owned,,,,,NO,8/8/1989,Herdecke Pumped Storage Power Plant,,Rhine-Westphalia,Operational,,,,,,,,,,,,,186.1,,,,,,,,,,,,,,,,,153000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,153000,153000,0,0,153000,0,0,0,0,153000,0,0,0,0,0,0,0,612000,612000,0,0,612000,0,0,612000,0,0,0,0,,Open-loop PHS,http://www.rwe.com/web/cms/mediablob/de/346008/data/183748/5/rwe/innovation/projekte-technologien/energiespeicher/pumpspeicher-herdecke.pdf,,Investor Owned
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,53000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Giurgiu,1/1/1990,,,,,Romania,,GESDB,,,"At the Frunzaru node the storage lake length is 15 km with a width of 1 km and surface area of 1.280 ha. The left bank dike is 16,000 m long and the right bank is 19,223 m long.   Pumping station Pesta is installed on the right bank dike at km 8+200 with intake capabilities of up to 24 m/s, and in the left bank dike another pump station which can take over up to 4.3 m/s.",Hidroelectrica S.A.,,,,,,,,,,,,187,,,,,43.900408,25.97,1,,Hidroelectrica S.A.,Third-Party-Owned,,,,,NO,1/1/1990,Frunzaru Reversible Pump Hydro Power Station,,Giurgiu,Operational,Sprâncenata,,,,,,,,,,,,187.1,,,,,,,,,,,,,,,,,53000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,53000,0,0,0,0,53000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://www.hidroconstructia.com/dyn/2pub/proiecte_det.php?id=207&amp;pg=6,,
Pumped hydro storage,Electro-mechanical energy storage,,Electro-mechanical energy storage,Pumped hydro storage,0,,240000,0,0,0,,,,,Electric Energy Time Shift (Arbitrage),,Electric Supply Capacity,,Electric Energy Time Shift (Arbitrage),,,,Minakami,1/1/1990,,,,,Japan,,GESDB,,,"The Yagisawa dam has a height of 131 meters and length of 352 meters. The dam impounds the Tone River and forms a reservoir with a capacity of 204,300,000 m³, catchment area of 167.4 km², and surface area of 570 hectares.  http://www3.toshiba.co.jp/power/english/hydro/products/pump/storage.htm",,,,,,,,,,,,Primary Distribution,188,Toshiba,,,,36.6785606,138.9991545,1,,Tokyo Electric Power Company (TEPCO),Utility-Owned,,,,Toshiba,NO,1/1/1990,Yagisawa Pumped Hydro Power Station,,Gunma Prefecture,Operational,,,,,,,,,,,,,188.1,,,,,,,,,,,,,,,,,240000,,,,,,,Subsystem 1,Open-loop PHS,,,,,,,,0,0,0,0,0,0,0,240000,0,0,0,0,240000,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,Open-loop PHS,http://en.wikipedia.org/wiki/Yagisawa_Dam,,Public Owned
